"Spanish","English"
"Your payment was processed correctly","Su pago fue procesado correctamente"
"Error while saving the transaction","Error tecnico al guardar transaccion"
"Invalid Response","Respuesta Invalida"
"Payment process with ","Pago procesado por "
"New Payment ID >> ","Nuevo Payment ID >> "
"Status >> ","Status >> "
"Authorization Code >> ","Code de Autorización>> "
"Successful operation ","Operación Exitosa "
"Refund Fail","Fallo el Reembolso"
"Operation Fails ","Fallo la operación "
"SORRY! There is a problem with the connection, please try again later","Lo sentimos! Hay un problema con la conexión, por favor intente más tarde"
"Fail to Cancel","Fallo la cancelación"
"Operation Fails ","Fallo la operación "
"Payment declined","Pago rechazado"
"Payment Denied","Pago denegado"
"Technical error in the cancellation","Error técnico en la cancelación"
"Are you sure you want to refund this order?","¿Esta seguro que desea la cancelación de esta orden?"
"Activate","Activar"
"Client ID","Client ID"
"Secret","Secret"
"User Webhook","Usuario del Webhook"
"Pass Webhook","Password del Webhook"
"Test Environment", "Ambiente de Test"
"Refund", "Reembolso"
"Invalid Operation","Operación Invalida"
"Interest Rate", "Tasa de Interés"
"Regresar al carrito de compras", "Regresar al carrito de compras"
"Cancel and Refund", "Cancelar y Reembolsar"
"The user canceled the payment flow","El usuario cancelo el flujo de pago"
"Your %store_name order confirmation","La confirmación de tu pedido de %store_name"
"Thank you for your order from %store_name.","Gracias por su pedido de %store_name."
"Once your package ships we will send you a tracking number.","Una vez que se envíe su paquete, le enviaremos un número de seguimiento."
"We will send you a notification once your items are ready for pickup.","Le enviaremos una notificación una vez que sus artículos estén listos para ser recogidos."
"Once your package ships we will send an email with a link to track your order.","Una vez que se envíe su paquete, le enviaremos un correo electrónico con un enlace para realizar un seguimiento de su pedido."
"Our hours are <span class=""no-link"">%store_hours</span>.","Nuestro horario es <span class=""no-link"">%store_hours</span>."
"You can check the status of your order by <a href=""%account_url"">logging into your account</a>.","Puede comprobar el estado de su pedido <a href=""%account_url""> iniciando sesión en su cuenta</a>."
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>","Si tiene preguntas sobre su pedido, puede enviarnos un correo electrónico a <a href=""mailto:%store_email"">%store_email</a>"
"Our hours are <span class=""no-link"">%store_hours</span>.","Nuestro horario es <span class=""no-link"">%store_hours</span>."
"Your Order <span class=""no-link"">#%increment_id</span>","Su pedido <span class=""no-link"">#%increment_id</span>"
"or call us at <a href=""tel:%store_phone"">%store_phone</a>","o llámanos al <a href=""tel:%store_phone"">%store_phone</a>"
"Placed on <span class=""no-link"">%created_at</span>","Colocado en <span class=""no-link"">%created_at</span>"
"Billing Info","Información de facturación"
"Shipping Info","Datos de envío"
"Payment Method","Método de pago"
"Shipping Method","Método de envío"

"Your order placed from %store_name is ready for pickup.","Su pedido realizado en %store_name está listo para ser recogido."
"Your Order <span class=""no-link"">#%increment_id</span> is complete","Su pedido <span class=""no-link"">#%increment_id</span> está completo"
"Please feel free to pickup your order now.","No dude en recoger su pedido ahora."
"Your shipping confirmation is below. Thank you again for your business.","Su confirmación de envío se encuentra a continuación. Gracias de nuevo por su negocio."
"Your Shipment #%shipment_id for Order #%order_id","Su envío #%shipment_id para el pedido #%order_id"
"Your order #%increment_id has been updated with a status of <strong>%order_status</strong>.","Su pedido #%increment_id se ha actualizado con un estado de <strong>%order_status</strong>."
"Your Invoice #%invoice_id for Order #%order_id","Su factura #%invoice_id para el pedido #%order_id"
